Cell Number,Sucrose [ul],Fructose [ul],Maltose [ul],Glucose [ul],Water [ul],Total Volume [ul]
A1_1,120,120,120,0,15,375
A2_1,120,120,75,30,30,375
A3_1,120,120,75,0,60,375
A4_1,120,120,30,75,30,375
A5_1,120,120,30,30,75,375
A6_1,120,120,30,0,105,375
A7_1,120,120,0,120,15,375
A8_1,120,120,0,75,60,375
A9_1,120,120,0,30,105,375
A10_1,120,120,0,0,135,375
A11_1,120,75,120,30,30,375
A12_1,120,75,120,0,60,375
B1_1,120,75,75,75,30,375
B2_1,120,75,75,30,75,375
B3_1,120,75,75,0,105,375
B4_1,120,75,30,120,30,375
B5_1,120,75,30,75,75,375
B6_1,120,75,30,30,120,375
B7_1,120,75,30,0,150,375
B8_1,120,75,0,120,60,375
B9_1,120,75,0,75,105,375
B10_1,120,75,0,30,150,375
B11_1,120,75,0,0,180,375
B12_1,120,30,120,75,30,375
C1_1,120,30,120,30,75,375
C2_1,120,30,120,0,105,375
C3_1,120,30,75,120,30,375
C4_1,120,30,75,75,75,375
C5_1,120,30,75,30,120,375
C6_1,120,30,75,0,150,375
C7_1,120,30,30,120,75,375
C8_1,120,30,30,75,120,375
C9_1,120,30,30,30,165,375
C10_1,120,30,30,0,195,375
C11_1,120,30,0,120,105,375
C12_1,120,30,0,75,150,375
D1_1,120,30,0,30,195,375
D2_1,120,30,0,0,225,375
D3_1,120,0,120,120,15,375
D4_1,120,0,120,75,60,375
D5_1,120,0,120,30,105,375
D6_1,120,0,120,0,135,375
D7_1,120,0,75,120,60,375
D8_1,120,0,75,75,105,375
D9_1,120,0,75,30,150,375
D10_1,120,0,75,0,180,375
D11_1,120,0,30,120,105,375
D12_1,120,0,30,75,150,375
E1_1,120,0,30,30,195,375
E2_1,120,0,30,0,225,375
E3_1,120,0,0,120,135,375
E4_1,120,0,0,75,180,375
E5_1,120,0,0,30,225,375
E6_1,120,0,0,0,255,375
E7_1,75,120,120,30,30,375
E8_1,75,120,120,0,60,375
E9_1,75,120,75,75,30,375
E10_1,75,120,75,30,75,375
E11_1,75,120,75,0,105,375
E12_1,75,120,30,120,30,375
F1_1,75,120,30,75,75,375
F2_1,75,120,30,30,120,375
F3_1,75,120,30,0,150,375
F4_1,75,120,0,120,60,375
F5_1,75,120,0,75,105,375
F6_1,75,120,0,30,150,375
F7_1,75,120,0,0,180,375
F8_1,75,75,120,75,30,375
F9_1,75,75,120,30,75,375
F10_1,75,75,120,0,105,375
F11_1,75,75,75,120,30,375
F12_1,75,75,75,75,75,375
G1_1,75,75,75,30,120,375
G2_1,75,75,75,0,150,375
G3_1,75,75,30,120,75,375
G4_1,75,75,30,75,120,375
G5_1,75,75,30,30,165,375
G6_1,75,75,30,0,195,375
G7_1,75,75,0,120,105,375
G8_1,75,75,0,75,150,375
G9_1,75,75,0,30,195,375
G10_1,75,75,0,0,225,375
G11_1,75,30,120,120,30,375
G12_1,75,30,120,75,75,375
H1_1,75,30,120,30,120,375
H2_1,75,30,120,0,150,375
H3_1,75,30,75,120,75,375
H4_1,75,30,75,75,120,375
H5_1,75,30,75,30,165,375
H6_1,75,30,75,0,195,375
H7_1,75,30,30,120,120,375
H8_1,75,30,30,75,165,375
H9_1,75,30,30,30,210,375
H10_1,75,30,30,0,240,375
H11_1,75,30,0,120,150,375
H12_1,75,30,0,75,195,375
A1_2,75,30,0,30,240,375
A2_2,75,30,0,0,270,375
A3_2,75,0,120,120,60,375
A4_2,75,0,120,75,105,375
A5_2,75,0,120,30,150,375
A6_2,75,0,120,0,180,375
A7_2,75,0,75,120,105,375
A8_2,75,0,75,75,150,375
A9_2,75,0,75,30,195,375
A10_2,75,0,75,0,225,375
A11_2,75,0,30,120,150,375
A12_2,75,0,30,75,195,375
B1_2,75,0,30,30,240,375
B2_2,75,0,30,0,270,375
B3_2,75,0,0,120,180,375
B4_2,75,0,0,75,225,375
B5_2,75,0,0,30,270,375
B6_2,75,0,0,0,300,375
B7_2,30,120,120,75,30,375
B8_2,30,120,120,30,75,375
B9_2,30,120,120,0,105,375
B10_2,30,120,75,120,30,375
B11_2,30,120,75,75,75,375
B12_2,30,120,75,30,120,375
C1_2,30,120,75,0,150,375
C2_2,30,120,30,120,75,375
C3_2,30,120,30,75,120,375
C4_2,30,120,30,30,165,375
C5_2,30,120,30,0,195,375
C6_2,30,120,0,120,105,375
C7_2,30,120,0,75,150,375
C8_2,30,120,0,30,195,375
C9_2,30,120,0,0,225,375
C10_2,30,75,120,120,30,375
C11_2,30,75,120,75,75,375
C12_2,30,75,120,30,120,375
D1_2,30,75,120,0,150,375
D2_2,30,75,75,120,75,375
D3_2,30,75,75,75,120,375
D4_2,30,75,75,30,165,375
D5_2,30,75,75,0,195,375
D6_2,30,75,30,120,120,375
D7_2,30,75,30,75,165,375
D8_2,30,75,30,30,210,375
D9_2,30,75,30,0,240,375
D10_2,30,75,0,120,150,375
D11_2,30,75,0,75,195,375
D12_2,30,75,0,30,240,375
E1_2,30,75,0,0,270,375
E2_2,30,30,120,120,75,375
E3_2,30,30,120,75,120,375
E4_2,30,30,120,30,165,375
E5_2,30,30,120,0,195,375
E6_2,30,30,75,120,120,375
E7_2,30,30,75,75,165,375
E8_2,30,30,75,30,210,375
E9_2,30,30,75,0,240,375
E10_2,30,30,30,120,165,375
E11_2,30,30,30,75,210,375
E12_2,30,30,30,30,255,375
F1_2,30,30,30,0,285,375
F2_2,30,30,0,120,195,375
F3_2,30,30,0,75,240,375
F4_2,30,30,0,30,285,375
F5_2,30,30,0,0,315,375
F6_2,30,0,120,120,105,375
F7_2,30,0,120,75,150,375
F8_2,30,0,120,30,195,375
F9_2,30,0,120,0,225,375
F10_2,30,0,75,120,150,375
F11_2,30,0,75,75,195,375
F12_2,30,0,75,30,240,375
G1_2,30,0,75,0,270,375
G2_2,30,0,30,120,195,375
G3_2,30,0,30,75,240,375
G4_2,30,0,30,30,285,375
G5_2,30,0,30,0,315,375
G6_2,30,0,0,120,225,375
G7_2,30,0,0,75,270,375
G8_2,30,0,0,30,315,375
G9_2,30,0,0,0,345,375
G10_2,0,120,120,120,15,375
G11_2,0,120,120,75,60,375
G12_2,0,120,120,30,105,375
H1_2,0,120,120,0,135,375
H2_2,0,120,75,120,60,375
H3_2,0,120,75,75,105,375
H4_2,0,120,75,30,150,375
H5_2,0,120,75,0,180,375
H6_2,0,120,30,120,105,375
H7_2,0,120,30,75,150,375
H8_2,0,120,30,30,195,375
H9_2,0,120,30,0,225,375
H10_2,0,120,0,120,135,375
H11_2,0,120,0,75,180,375
H12_2,0,120,0,30,225,375
A1_3,0,120,0,0,255,375
A2_3,0,75,120,120,60,375
A3_3,0,75,120,75,105,375
A4_3,0,75,120,30,150,375
A5_3,0,75,120,0,180,375
A6_3,0,75,75,120,105,375
A7_3,0,75,75,75,150,375
A8_3,0,75,75,30,195,375
A9_3,0,75,75,0,225,375
A10_3,0,75,30,120,150,375
A11_3,0,75,30,75,195,375
A12_3,0,75,30,30,240,375
B1_3,0,75,30,0,270,375
B2_3,0,75,0,120,180,375
B3_3,0,75,0,75,225,375
B4_3,0,75,0,30,270,375
B5_3,0,75,0,0,300,375
B6_3,0,30,120,120,105,375
B7_3,0,30,120,75,150,375
B8_3,0,30,120,30,195,375
B9_3,0,30,120,0,225,375
B10_3,0,30,75,120,150,375
B11_3,0,30,75,75,195,375
B12_3,0,30,75,30,240,375
C1_3,0,30,75,0,270,375
C2_3,0,30,30,120,195,375
C3_3,0,30,30,75,240,375
C4_3,0,30,30,30,285,375
C5_3,0,30,30,0,315,375
C6_3,0,30,0,120,225,375
C7_3,0,30,0,75,270,375
C8_3,0,30,0,30,315,375
C9_3,0,30,0,0,345,375
C10_3,0,0,120,120,135,375
C11_3,0,0,120,75,180,375
C12_3,0,0,120,30,225,375
D1_3,0,0,120,0,255,375
D2_3,0,0,75,120,180,375
D3_3,0,0,75,75,225,375
D4_3,0,0,75,30,270,375
D5_3,0,0,75,0,300,375
D6_3,0,0,30,120,225,375
D7_3,0,0,30,75,270,375
D8_3,0,0,30,30,315,375
D9_3,0,0,30,0,345,375
D10_3,0,0,0,120,255,375
D11_3,0,0,0,75,300,375
D12_3,0,0,0,30,345,375
E1_3,0,0,0,0,375,375
E2_3,375,0,0,0,0,375
E3_3,0,375,0,0,0,375
E4_3,0,0,375,0,0,375
E5_3,0,0,0,375,0,375